Year;HCPI
1970;48.7
1970;48.9
1970;48.6
1970;48.6
1971;48.2
1971;48
1971;47.8
1971;48
1972;47.6
1972;47.6
1972;47.5
1972;47.3
1973;47.6
1973;47.1
1973;46.7
1973;49.3
1974;58.7
1974;64
1974;65.5
1974;67
1975;67.2
1975;67.4
1975;68
1975;68.6
1976;69.9
1976;71
1976;71.9
1976;74.2
1977;76.1
1977;78
1977;80.3
1977;82.8
1978;84.7
1978;86.2
1978;88.4
1978;90.6
1979;92.2
1979;93.7
1979;95.8
1979;98.3
1980;100.6
1980;102.1
1980;103.4
1980;104.8
1981;106.1
1981;108.1
1981;110.7
1981;114.2
1982;117.4
1982;121
1982;122.9
1982;126.8
1983;128.8
1983;131.8
1983;134.7
1983;138
1984;141.5
1984;144.9
1984;148.9
1984;153
1985;156.2
1985;160.2
1985;164.8
1985;44.2
1986;48.5
1986;51.9
1986;55
1986;57.8
1987;61.3
1987;64.7
1987;68.7
1987;76.6
1988;88.3
1988;93.5
1988;98.5
1988;103.8
1989;110.4
1989;115.6
1989;121.7
1989;130.1
1990;140.4
1990;156.5
1990;179.3
1990;197.4
1991;219.4
1991;241.3
1991;272.9
1991;297
1992;315.7
1992;337.3
1992;372.2
1992;417.7
1993;468.7
1993;512.3
1993;563.5
1993;638.2
1994;754.4
1994;910.1
1994;1080.9
1994;1288.9
1995;
1995;
1995;
1995;
1996;
1996;
1996;
1996;
1997;
1997;
1997;
1997;
1998;
1998;
1998;
1998;
1999;
1999;
1999;
1999;
2000;
2000;
2000;
2000;
2001;
2001;
2001;
2001;
2002;
2002;
2002;
2002;
2003;
2003;
2003;
2003;
2004;
2004;
2004;
2004;
2005;
2005;
2005;
2005;
2006;
2006;
2006;
2006;
2007;
2007;
2007;
2007;
2008;
2008;
2008;
2008;
2009;
2009;
2009;
2009;
2010;
2010;
2010;
2010;
2011;
2011;
2011;
2011;
2012;
2012;
2012;
2012;
2013;
2013;
2013;
2013;
2014;
2014;
2014;
2014;
2015;
2015;
2015;
2015;
2016;
2016;
2016;
2016;
2017;
2017;
2017;
2017;
2018;
2018;
2018;
2018;
2019;
2019;
2019;
2019;
2020;
2020;
2020;
2020;
2021;
2021;
2021;
2021;
2022;
2022;
2022;
2022;
2023;
