Year;HCPI
1970;
1970;
1970;
1970;
1971;
1971;
1971;
1971;
1972;
1972;
1972;
1972;
1973;
1973;
1973;
1973;
1974;
1974;
1974;
1974;
1975;
1975;
1975;
1975;
1976;
1976;
1976;
1976;
1977;
1977;
1977;
1977;
1978;
1978;
1978;
1978;
1979;
1979;
1979;
1979;
1980;
1980;
1980;
1980;
1981;
1981;
1981;
1981;
1982;
1982;
1982;
1982;
1983;
1983;
1983;
1983;
1984;
1984;
1984;
1984;
1985;
1985;
1985;
1985;
1986;
1986;
1986;
1986;
1987;
1987;
1987;
1987;
1988;
1988;
1988;
1988;
1989;
1989;
1989;
1989;
1990;
1990;
1990;
1990;
1991;30
1991;32.9
1991;33.3
1991;33.6
1992;34.8
1992;35.4
1992;36.1
1992;37.8
1993;42.3
1993;43.2
1993;43.7
1993;44.8
1994;46.5
1994;47.1
1994;48.1
1994;49.5
1995;50.9
1995;51.9
1995;52.5
1995;53.5
1996;55.4
1996;56.3
1996;57.4
1996;58.1
1997;59.4
1997;60.2
1997;63.1
1997;64.1
1998;67.2
1998;67.8
1998;69.2
1998;68.9
1999;69.3
1999;69.4
1999;70
1999;70.3
2000;71.7
2000;71.9
2000;72.8
2000;73.1
2001;74.6
2001;75.5
2001;76.7
2001;76.2
2002;77.5
2002;77.3
2002;77.3
2002;76.7
2003;77.2
2003;77.4
2003;77.3
2003;77.3
2004;79
2004;79.4
2004;79.7
2004;79.6
2005;80.3
2005;80.6
2005;81.1
2005;81.5
2006;82.6
2006;82.9
2006;83.5
2006;82.7
2007;83.8
2007;85
2007;85.7
2007;86.8
2008;90.1
2008;90.7
2008;91.4
2008;90.8
2009;92
2009;92
2009;91.5
2009;91.2
2010;92.6
2010;93.2
2010;93.2
2010;93.1
2011;94.2
2011;94.8
2011;94.9
2011;95.3
2012;97.6
2012;98
2012;98
2012;98
2013;99.4
2013;99.5
2013;99.2
2013;99.2
2014;99.6
2014;99.7
2014;99.8
2014;99.6
2015;99.7
2015;100.3
2015;100.2
2015;99.7
2016;100.1
2016;100.6
2016;100.7
2016;101.2
2017;102.6
2017;102.8
2017;103.3
2017;103.8
2018;104.5
2018;105.2
2018;105.8
2018;106
2019;107.3
2019;108.1
2019;108.8
2019;109.2
2020;111.2
2020;111.5
2020;112.4
2020;112
2021;113.6
2021;114.7
2021;117
2021;118.9
2022;126.4
2022;132.8
2022;137.6
2022;137.6
2023;147.1
