Year;HCPI
1970;
1970;
1970;
1970;
1971;
1971;
1971;
1971;
1972;
1972;
1972;
1972;
1973;
1973;
1973;
1973;
1974;
1974;
1974;
1974;
1975;
1975;
1975;
1975;
1976;
1976;
1976;
1976;
1977;
1977;
1977;
1977;
1978;
1978;
1978;
1978;
1979;
1979;
1979;
1979;
1980;
1980;
1980;
1980;
1981;
1981;
1981;
1981;
1982;
1982;
1982;
1982;
1983;
1983;
1983;
1983;
1984;
1984;
1984;
1984;
1985;
1985;
1985;
1985;
1986;
1986;
1986;
1986;
1987;
1987;
1987;
1987;
1988;
1988;
1988;
1988;
1989;
1989;
1989;
1989;
1990;
1990;
1990;
1990;
1991;
1991;
1991;
1991;
1992;156.1
1992;163.3
1992;167.4
1992;177.3
1993;194.5
1993;198.9
1993;204.9
1993;215.1
1994;227.2
1994;235.3
1994;244.9
1994;259.5
1995;282.9
1995;306.7
1995;317.1
1995;333.8
1996;360.8
1996;380.2
1996;388.9
1996;401.6
1997;428.8
1997;449.8
1997;459.1
1997;474.3
1998;501.8
1998;518.6
1998;520.3
1998;527.7
1999;549.4
1999;565.9
1999;575.4
1999;584.6
2000;603.4
2000;617.6
2000;632.2
2000;645.2
2001;665.8
2001;682.8
2001;687.2
2001;691.6
2002;707.4
2002;720.4
2002;718.7
2002;725
2003;740.3
2003;748.7
2003;752.5
2003;764
2004;790.6
2004;803.7
2004;805.2
2004;808.8
2005;818.7
2005;833.9
2005;834.5
2005;835.4
2006;839.4
2006;855.6
2006;869
2006;889.1
2007;911.1
2007;929.3
2007;935.7
2007;952
2008;974.1
2008;992
2008;994.8
2008;992.8
2009;1003.5
2009;1028
2009;1044.5
2009;1044.1
2010;1064
2010;1082.7
2010;1084.2
2010;1089.4
2011;1108.7
2011;1126.2
2011;1121.3
2011;1133.7
2012;1171
2012;1188.4
2012;1190
2012;1194.9
2013;1204.9
2013;1209.6
2013;1207.6
2013;1203.8
2014;1205.4
2014;1207.5
2014;1206.9
2014;1195.5
2015;1192.9
2015;1210.5
2015;1207
2015;1201.4
2016;1196.6
2016;1209.9
2016;1207.5
2016;1216.7
2017;1227.9
2017;1234.9
2017;1236.9
2017;1244.6
2018;1252
2018;1268.5
2018;1279.3
2018;1284.6
2019;1291.7
2019;1315.9
2019;1318.6
2019;1328.5
2020;1347.4
2020;1348.6
2020;1367.5
2020;1365.9
2021;1389.9
2021;1418.4
2021;1435.8
2021;1462.5
2022;1504.3
2022;1569
2022;1672.3
2022;149.2
2023;156.8
