Year;HCPI
1970;12.5
1970;12.7
1970;13
1970;13.2
1971;13.4
1971;13.5
1971;13.7
1971;14
1972;14.3
1972;14.5
1972;14.8
1972;15
1973;15.3
1973;15.6
1973;15.8
1973;16.2
1974;16.7
1974;17
1974;17.4
1974;17.8
1975;18.5
1975;19
1975;19.5
1975;19.9
1976;20.3
1976;20.9
1976;21.3
1976;21.4
1977;22.1
1977;22.7
1977;23.3
1977;23.5
1978;24.2
1978;24.5
1978;25.1
1978;25.3
1979;25.4
1979;25.7
1979;26
1979;26.4
1980;27.4
1980;28.3
1980;29.2
1980;29.9
1981;31.4
1981;32.3
1981;33.2
1981;33.6
1982;35.1
1982;35.9
1982;36.8
1982;37.5
1983;38.6
1983;39.1
1983;39.7
1983;40.2
1984;41
1984;41.7
1984;42.1
1984;42.6
1985;43.3
1985;44.1
1985;44.5
1985;45
1986;45.8
1986;46.7
1986;48.1
1986;49
1987;50.4
1987;51.3
1987;51.9
1987;52.6
1988;54
1988;54.9
1988;55.3
1988;55.8
1989;56.5
1989;57.4
1989;57.8
1989;58.2
1990;59
1990;59.6
1990;60
1990;60.8
1991;61.3
1991;61.9
1991;62.1
1991;62.4
1992;62.7
1992;63.4
1992;63.6
1992;63.8
1993;64.3
1993;64.9
1993;64.9
1993;65.1
1994;65.1
1994;65.6
1994;65.9
1994;66.2
1995;66.9
1995;67.3
1995;67.5
1995;67.6
1996;67.5
1996;68
1996;68.4
1996;68.8
1997;69.5
1997;69.8
1997;70
1997;70.4
1998;71
1998;71.4
1998;71.6
1998;72
1999;72.6
1999;73.2
1999;73
1999;73.9
2000;74.7
2000;75.3
2000;75.5
2000;76.2
2001;77.4
2001;78.3
2001;77.5
2001;77.8
2002;78.2
2002;78.6
2002;78.6
2002;79.5
2003;81.8
2003;80.4
2003;80.1
2003;80.5
2004;80.6
2004;81.1
2004;81
2004;81.5
2005;81.4
2005;82.3
2005;82.5
2005;83
2006;83.2
2006;84.3
2006;84.3
2006;85
2007;84.1
2007;84.5
2007;84.4
2007;86.2
2008;87
2008;87.3
2008;88.4
2008;89.2
2009;89.2
2009;90
2009;90
2009;90.5
2010;91.8
2010;92.3
2010;91.7
2010;92.6
2011;93.1
2011;93.7
2011;93
2011;93.3
2012;93.8
2012;94
2012;93.4
2012;94.5
2013;95
2013;95.9
2013;96.2
2013;96.6
2014;97
2014;97.7
2014;98.2
2014;98.6
2015;98.9
2015;99.8
2015;100.2
2015;101.1
2016;102
2016;103.3
2016;104.2
2016;104.7
2017;104.7
2017;105.5
2017;105.8
2017;106.1
2018;106.8
2018;108
2018;109.2
2018;109.6
2019;110
2019;110.6
2019;111
2019;111.4
2020;111.2
2020;111.9
2020;112.8
2020;112.8
2021;114.5
2021;115.1
2021;116.7
2021;118.1
2022;118.9
2022;121.8
2022;124.6
2022;125.9
2023;126.8
