Year;HCPI
1970;30.90
1970;31.40
1970;31.50
1970;32.30
1971;32.80
1971;33.40
1971;33.80
1971;34.20
1972;34.30
1972;35.10
1972;35.40
1972;35.90
1973;36.90
1973;38.70
1973;39.90
1973;41.60
1974;45.40
1974;47.50
1974;49.20
1974;51.30
1975;52.30
1975;53.80
1975;54.30
1975;55.80
1976;57.00
1976;58.80
1976;59.60
1976;61.00
1977;62.40
1977;64.10
1977;64.30
1977;65.00
1978;65.30
1978;66.60
1978;67.20
1978;67.40
1979;67.30
1979;68.90
1979;69.60
1979;70.70
1980;72.10
1980;74.40
1980;75.20
1980;76.20
1981;76.90
1981;78.10
1981;78.40
1981;79.30
1982;79.30
1982;80.10
1982;80.50
1982;81.20
1983;81.00
1983;81.90
1983;81.70
1983;82.60
1984;82.90
1984;83.60
1984;83.50
1984;84.50
1985;84.60
1985;85.40
1985;85.50
1985;85.90
1986;85.90
1986;86.10
1986;85.70
1986;85.70
1987;85.20
1987;86.30
1987;86.10
1987;86.30
1988;85.90
1988;86.40
1988;86.60
1988;87.20
1989;86.80
1989;88.80
1989;89.00
1989;89.50
1990;89.90
1990;91.10
1990;91.30
1990;92.70
1991;93.20
1991;94.20
1991;94.20
1991;95.30
1992;95.00
1992;96.30
1992;95.90
1992;96.20
1993;96.20
1993;97.10
1993;97.60
1993;97.30
1994;97.40
1994;97.90
1994;97.60
1994;98.10
1995;97.60
1995;97.80
1995;97.60
1995;97.50
1996;97.30
1996;98.00
1996;97.80
1996;98.10
1997;97.80
1997;99.90
1997;99.90
1997;100.10
1998;99.70
1998;100.20
1998;99.70
1998;100.70
1999;99.60
1999;100.00
1999;99.70
1999;99.70
2000;99.00
2000;99.30
2000;99.00
2000;98.90
2001;98.60
2001;98.50
2001;98.30
2001;98.00
2002;97.30
2002;97.70
2002;97.50
2002;97.40
2003;97.00
2003;97.50
2003;97.30
2003;97.10
2004;96.90
2004;97.20
2004;97.20
2004;97.60
2005;96.90
2005;97.10
2005;96.90
2005;96.90
2006;96.80
2006;97.20
2006;97.50
2006;97.20
2007;96.70
2007;97.20
2007;97.40
2007;97.70
2008;97.60
2008;98.40
2008;99.50
2008;98.70
2009;97.50
2009;97.50
2009;97.20
2009;96.70
2010;96.70
2010;96.80
2010;96.20
2010;96.40
2011;96.20
2011;96.40
2011;96.40
2011;96.10
2012;96.50
2012;96.50
2012;96.00
2012;95.90
2013;95.80
2013;96.30
2013;96.80
2013;97.30
2014;97.30
2014;99.70
2014;100.10
2014;99.80
2015;99.50
2015;100.30
2015;100.20
2015;100.00
2016;99.60
2016;99.90
2016;99.70
2016;100.30
2017;99.90
2017;100.30
2017;100.30
2017;100.90
2018;101.20
2018;101.00
2018;101.40
2018;101.80
2019;101.50
2019;101.70
2019;101.80
2019;102.30
2020;102.20
2020;101.90
2020;101.80
2020;101.30
2021;101.60
2021;101.10
2021;101.60
2021;101.80
2022;102.50
2022;103.50
2022;104.60
2022;105.80
2023;106.30
