Year;HCPI
1970;16.0
1970;16.0
1970;16.2
1970;16.1
1971;16.2
1971;16.4
1971;16.7
1971;16.8
1972;17.0
1972;17.1
1972;17.5
1972;17.6
1973;18.0
1973;18.4
1973;18.9
1973;19.3
1974;19.7
1974;20.4
1974;21.0
1974;21.6
1975;22.0
1975;22.5
1975;23.3
1975;23.7
1976;24.1
1976;24.4
1976;24.8
1976;25.1
1977;25.7
1977;26.3
1977;26.9
1977;27.4
1978;28.0
1978;28.6
1978;29.3
1978;29.8
1979;30.5
1979;31.3
1979;31.9
1979;32.7
1980;33.4
1980;34.3
1980;35.3
1980;36.2
1981;37.5
1981;38.6
1981;39.7
1981;40.7
1982;41.7
1982;43.0
1982;44.0
1982;44.6
1983;45.0
1983;45.6
1983;46.3
1983;46.7
1984;47.3
1984;47.7
1984;48.1
1984;48.4
1985;49.0
1985;49.6
1985;50.0
1985;50.4
1986;51.1
1986;51.5
1986;52.1
1986;52.6
1987;53.1
1987;53.9
1987;54.5
1987;54.9
1988;55.3
1988;56.0
1988;56.6
1988;57.1
1989;57.8
1989;58.8
1989;59.7
1989;60.1
1990;60.9
1990;61.5
1990;62.1
1990;63.0
1991;64.9
1991;65.3
1991;65.7
1991;65.6
1992;65.9
1992;66.2
1992;66.5
1992;66.8
1993;67.3
1993;67.4
1993;67.7
1993;68.0
1994;67.7
1994;67.4
1994;67.8
1994;68.0
1995;68.7
1995;69.2
1995;69.4
1995;69.4
1996;69.7
1996;70.2
1996;70.3
1996;70.8
1997;71.2
1997;71.4
1997;71.6
1997;71.5
1998;71.9
1998;72.1
1998;72.2
1998;72.3
1999;72.5
1999;73.2
1999;73.7
1999;74.0
2000;74.4
2000;75.0
2000;75.7
2000;76.3
2001;76.4
2001;77.7
2001;77.8
2001;77.1
2002;77.6
2002;78.8
2002;79.6
2002;80.0
2003;81.1
2003;81.0
2003;81.3
2003;81.4
2004;81.8
2004;82.7
2004;82.9
2004;83.3
2005;83.6
2005;84.3
2005;85.1
2005;85.1
