Year;HCPI
1970;6.5
1970;6.6
1970;6.7
1970;7.0
1971;7.2
1971;7.3
1971;7.5
1971;7.6
1972;7.8
1972;7.9
1972;8.0
1972;8.0
1973;8.2
1973;8.5
1973;8.7
1973;8.9
1974;9.1
1974;9.3
1974;9.7
1974;10.0
1975;10.3
1975;10.7
1975;11.1
1975;11.5
1976;12.1
1976;12.6
1976;13.0
1976;13.3
1977;13.7
1977;14.4
1977;14.9
1977;15.4
1978;15.7
1978;16.1
1978;16.5
1978;16.9
1979;17.3
1979;18.1
1979;19.0
1979;19.7
1980;20.5
1980;21.4
1980;22.1
1980;22.9
1981;23.6
1981;24.6
1981;25.6
1981;26.5
1982;27.4
1982;28.8
1982;29.8
1982;30.6
1983;30.8
1983;31.1
1983;31.4
1983;31.7
1984;31.9
1984;32.6
1984;33.6
1984;34.7
1985;36.2
1985;38.0
1985;39.1
1985;40.0
1986;40.9
1986;42.0
1986;43.4
1986;47.3
1987;48.4
1987;50.0
1987;50.7
1987;51.8
1988;52.7
1988;53.1
1988;53.6
1988;54.2
1989;54.8
1989;55.5
1989;57.4
1989;58.1
1990;58.7
1990;59.7
1990;60.3
1990;61.0
1991;61.3
1991;61.4
1991;61.6
1991;61.6
1992;61.8
1992;62.0
1992;62.2
1992;62.4
1993;62.4
1993;62.8
1993;63.1
1993;63.2
1994;63.2
1994;63.5
1994;64.3
1994;65.0
1995;65.8
1995;66.4
1995;66.5
1995;66.9
1996;67.2
1996;67.7
1996;68.1
1996;68.6
1997;68.4
1997;68.5
1997;68.8
1997;69.2
1998;69.3
1998;69.6
1998;70.0
1998;69.4
1999;69.2
1999;69.4
1999;69.6
1999;69.8
2000;70.3
2000;70.8
2000;71.7
2000;72.6
2001;72.4
2001;73.0
2001;73.5
2001;73.9
2002;74.3
2002;75.1
2002;75.4
2002;75.9
2003;76.2
2003;76.2
2003;76.5
2003;77.1
2004;77.4
2004;78.0
2004;78.5
2004;79.2
2005;79.5
2005;80.2
2005;81.1
2005;81.7
2006;82.1
2006;83.4
2006;84.0
2006;83.8
2007;84.2
2007;85.1
2007;85.5
2007;86.5
2008;87.1
2008;88.5
2008;89.8
2008;89.4
2009;89.6
2009;90.1
2009;91.3
2009;91.1
2010;91.5
2010;91.6
2010;92.6
2010;94.8
2011;95.6
2011;96.5
2011;96.9
2011;96.6
2012;97.1
2012;97.4
2012;97.6
2012;97.5
2013;97.9
2013;98.1
2013;99.0
2013;99.1
2014;99.4
2014;99.6
2014;100.0
2014;99.8
2015;99.6
