Year;HCPI
1970;
1970;
1970;
1970;
1971;
1971;
1971;
1971;
1972;
1972;
1972;
1972;
1973;
1973;
1973;
1973;
1974;
1974;
1974;
1974;
1975;
1975;
1975;
1975;
1976;
1976;
1976;
1976;
1977;
1977;
1977;
1977;
1978;
1978;
1978;
1978;
1979;
1979;
1979;
1979;
1980;
1980;
1980;
1980;
1981;
1981;
1981;
1981;
1982;0.1
1982;0.1
1982;0.1
1982;0.1
1983;0.1
1983;0.1
1983;0.1
1983;0.2
1984;0.2
1984;0.2
1984;0.2
1984;0.2
1985;0.2
1985;0.2
1985;0.2
1985;0.2
1986;0.2
1986;0.2
1986;0.2
1986;0.2
1987;0.3
1987;0.3
1987;0.3
1987;0.3
1988;0.4
1988;0.4
1988;0.5
1988;0.5
1989;0.6
1989;0.8
1989;1.4
1989;3.4
1990;8.4
1990;10.3
1990;11.4
1990;13.2
1991;16.6
1991;18.6
1991;19.7
1991;21.6
1992;24.4
1992;26.6
1992;28.6
1992;31.5
1993;34.5
1993;36.8
1993;38.7
1993;42.2
1994;45.8
1994;48.8
1994;51.9
1994;56.3
1995;60.9
1995;64.4
1995;65.5
1995;69.0
1996;73.4
1996;77.1
1996;78.7
1996;82.0
1997;86.3
1997;88.8
1997;90.1
1997;93.0
1998;98.2
1998;100.3
1998;100.1
1998;101.5
1999;104.2
1999;106.5
1999;107.4
1999;110.9
2000;114.9
2000;117.2
2000;119.0
2000;121.1
2001;122.7
2001;125.0
2001;124.9
2001;125.7
2002;127.1
2002;127.5
2002;126.3
2002;126.8
2003;127.5
2003;128.1
2003;127.4
2003;128.8
2004;129.8
2004;132.4
2004;133.3
2004;134.5
2005;134.8
2005;135.5
2005;135.2
2005;135.7
2006;135.7
2006;136.8
2006;137.2
2006;137.5
2007;138.3
2007;140.1
2007;139.9
2007;142.0
2008;144.2
2008;146.3
2008;146.6
2008;147.5
2009;149.4
2009;152.2
2009;152.5
2009;152.8
2010;154.3
2010;155.8
2010;155.9
2010;157.4
2011;160.5
2011;162.7
2011;162.2
2011;164.4
2012;167.1
2012;169.2
2012;168.4
2012;169.3
2013;169.8
2013;170.6
2013;170.7
2013;170.9
2014;171.3
2014;171.4
2014;170.5
2014;169.9
2015;169.2
2015;170.0
2015;169.2
2015;168.6
2016;167.4
2016;168.2
2016;167.8
2016;169.0
2017;170.9
2017;171.3
2017;170.9
2017;172.9
2018;173.6
2018;174.6
2018;174.6
2018;175.5
2019;175.7
2019;178.6
2019;179.1
2019;180.1
2020;183.7
2020;184.3
2020;184.5
2020;185.1
2021;188.9
2021;192.5
2021;194.5
2021;199.7
2022;207.3
2022;219.4
2022;226.3
2022;138.7
2023;144.3
