Year,HCPI
1970,16
1970,16.29982
1970,16.48264
1970,16.70766
1971,16.83424
1971,17.01706
1971,17.19989
1971,17.28427
1972,17.41085
1972,17.55148
1972,17.72025
1972,17.88901
1973,18.11403
1973,18.52188
1973,18.92973
1973,19.3657
1974,19.91418
1974,20.47673
1974,21.09553
1974,21.7284
1975,22.12218
1975,22.45971
1975,22.93788
1975,23.30353
1976,23.52855
1976,23.82389
1976,24.20361
1976,24.48488
1977,24.90679
1977,25.45528
1977,25.82093
1977,26.10221
1978,26.55224
1978,27.2273
1978,27.87423
1978,28.43678
1979,29.13996
1979,30.15255
1979,31.15107
1979,32.03708
1980,33.30281
1980,34.52636
1980,35.15922
1980,36.08743
1981,37.04375
1981,37.90164
1981,38.97048
1981,39.53303
1982,39.85649
1982,40.46123
1982,41.22067
1982,41.31912
1983,41.29099
1983,41.81135
1983,42.30358
1983,42.6833
1984,43.16146
1984,43.62556
1984,44.10373
1984,44.42719
1985,44.70847
1985,45.25695
1985,45.58041
1985,45.98826
1986,46.08671
1986,45.98826
1986,46.32579
1986,46.57894
1987,47.09929
1987,47.7181
1987,48.26658
1987,48.67443
1988,48.96976
1988,49.58857
1988,50.24956
1988,50.76992
1989,51.33246
1989,52.17628
1989,52.5982
1989,53.10449
1990,54.01863
1990,54.56711
1990,55.50938
1990,56.40945
1991,56.87356
1991,57.21109
1991,57.66113
1991,58.0971
1992,58.50494
1992,58.98311
1992,59.44721
1992,59.86912
1993,60.37542
1993,60.83952
1993,61.0786
1993,61.50051
1994,61.89429
1994,62.28808
1994,62.83656
1994,63.1319
1995,63.65226
1995,64.21481
1995,64.49608
1995,64.80548
1996,65.39616
1996,66.04308
1996,66.39468
1996,66.87284
1997,67.32288
1997,67.59009
1997,67.8573
1997,68.12451
1998,68.30733
1998,68.67299
1998,68.9402
1998,69.17928
1999,69.4465
1999,70.12155
1999,70.55753
1999,70.9935
2000,71.69669
2000,72.45612
2000,73.03274
2000,73.42652
2001,74.12971
2001,74.90321
2001,75.00166
2001,74.7907
2002,75.05791
2002,75.8736
2002,76.19707
2002,76.43615
2003,77.20965
2003,77.49093
2003,77.87064
2003,77.88471
2004,78.58789
2004,79.71299
2004,79.99426
2004,80.47243
2005,80.97872
2005,82.06162
2005,83.06014
2005,83.48206
2006,83.9321
2006,85.35252
2006,85.8307
2006,85.09938
2007,85.96669
2007,87.61495
2007,87.8567
2007,88.48156
2008,89.4874
2008,91.45195
2008,92.51559
2008,89.89876
2009,89.45139
2009,90.39984
2009,91.01373
2009,91.19683
2010,91.56291
2010,91.9979
2010,92.08369
2010,92.35526
2011,93.52339
2011,95.15379
2011,95.54251
2011,95.39724
2012,96.15625
2012,96.95197
2012,97.16462
2012,97.19964
2013,97.77344
2013,98.30238
2013,98.67393
2013,98.39857
2014,99.1476
2014,100.3184
2014,100.4334
2014,99.62661
2015,99.08544
2015,100.28
2015,100.5434
2015,100.0911
2016,100.1558
2016,101.33
2016,101.6671
2016,101.8934
2017,102.6991
2017,103.2573
2017,103.6668
2017,104.051
2018,104.9731
2018,106.0575
2018,106.4046
2018,106.3434
2019,106.6998
2019,107.9786
2019,108.2747
2019,108.5053
2020,108.9604
2020,108.372
2020,109.5982
2020,109.8502
2021,111.029
2021,113.6269
2021,115.446
2021,117.1982
2022,119.8744
2022,123.4392
2022,125.0621
2022,125.521
2023,126.833
